"algorithm","FULL_MATCH","PARTIAL_MATCH","TOTAL_MATCH","Total_CANARY_Events","Total_Verified_Events","Percent_CANARY_Agreement_to_TOTAL_Verified_Events"
"OW061024_051124C_LPCF_BED10_ET0.98926alg_1.csv",0,4,4,112,4,100
"OW061024_051124C_LPCF_BED10_ET0.98926alg_10.csv",0,4,4,38,4,100
"OW061024_051124C_LPCF_BED10_ET0.98926alg_11.csv",0,4,4,36,4,100
"OW061024_051124C_LPCF_BED10_ET0.98926alg_12.csv",0,4,4,26,4,100
"OW061024_051124C_LPCF_BED10_ET0.98926alg_13.csv",0,4,4,34,4,100
"OW061024_051124C_LPCF_BED10_ET0.98926alg_14.csv",0,4,4,15,4,100
"OW061024_051124C_LPCF_BED10_ET0.98926alg_15.csv",0,4,4,13,4,100
"OW061024_051124C_LPCF_BED10_ET0.98926alg_16.csv",0,4,4,8,4,100
"OW061024_051124C_LPCF_BED10_ET0.98926alg_2.csv",0,4,4,98,4,100
"OW061024_051124C_LPCF_BED10_ET0.98926alg_3.csv",0,4,4,89,4,100
"OW061024_051124C_LPCF_BED10_ET0.98926alg_4.csv",0,4,4,81,4,100
"OW061024_051124C_LPCF_BED10_ET0.98926alg_5.csv",0,4,4,85,4,100
"OW061024_051124C_LPCF_BED10_ET0.98926alg_6.csv",0,4,4,64,4,100
"OW061024_051124C_LPCF_BED10_ET0.98926alg_7.csv",0,4,4,63,4,100
"OW061024_051124C_LPCF_BED10_ET0.98926alg_8.csv",0,4,4,39,4,100
"OW061024_051124C_LPCF_BED10_ET0.98926alg_9.csv",0,4,4,61,4,100
"OW061024_051124C_LPCF_BED10_ET0.99903alg_1.csv",0,4,4,108,4,100
"OW061024_051124C_LPCF_BED10_ET0.99903alg_10.csv",0,4,4,35,4,100
"OW061024_051124C_LPCF_BED10_ET0.99903alg_11.csv",0,4,4,37,4,100
"OW061024_051124C_LPCF_BED10_ET0.99903alg_12.csv",0,4,4,24,4,100
"OW061024_051124C_LPCF_BED10_ET0.99903alg_13.csv",0,4,4,32,4,100
"OW061024_051124C_LPCF_BED10_ET0.99903alg_14.csv",0,4,4,18,4,100
"OW061024_051124C_LPCF_BED10_ET0.99903alg_15.csv",0,4,4,13,4,100
"OW061024_051124C_LPCF_BED10_ET0.99903alg_16.csv",0,4,4,8,4,100
"OW061024_051124C_LPCF_BED10_ET0.99903alg_2.csv",0,4,4,92,4,100
"OW061024_051124C_LPCF_BED10_ET0.99903alg_3.csv",0,4,4,92,4,100
"OW061024_051124C_LPCF_BED10_ET0.99903alg_4.csv",0,4,4,76,4,100
"OW061024_051124C_LPCF_BED10_ET0.99903alg_5.csv",0,4,4,84,4,100
"OW061024_051124C_LPCF_BED10_ET0.99903alg_6.csv",0,4,4,61,4,100
"OW061024_051124C_LPCF_BED10_ET0.99903alg_7.csv",0,4,4,61,4,100
"OW061024_051124C_LPCF_BED10_ET0.99903alg_8.csv",0,4,4,42,4,100
"OW061024_051124C_LPCF_BED10_ET0.99903alg_9.csv",0,4,4,59,4,100
"OW061024_051124C_LPCF_BED6_ET0.89063alg_1.csv",0,4,4,131,4,100
"OW061024_051124C_LPCF_BED6_ET0.89063alg_10.csv",0,4,4,39,4,100
"OW061024_051124C_LPCF_BED6_ET0.89063alg_11.csv",0,4,4,37,4,100
"OW061024_051124C_LPCF_BED6_ET0.89063alg_12.csv",0,4,4,24,4,100
"OW061024_051124C_LPCF_BED6_ET0.89063alg_13.csv",0,4,4,34,4,100
"OW061024_051124C_LPCF_BED6_ET0.89063alg_14.csv",0,4,4,15,4,100
"OW061024_051124C_LPCF_BED6_ET0.89063alg_15.csv",0,4,4,13,4,100
"OW061024_051124C_LPCF_BED6_ET0.89063alg_16.csv",0,4,4,9,4,100
"OW061024_051124C_LPCF_BED6_ET0.89063alg_2.csv",0,4,4,113,4,100
"OW061024_051124C_LPCF_BED6_ET0.89063alg_3.csv",0,4,4,107,4,100
"OW061024_051124C_LPCF_BED6_ET0.89063alg_4.csv",0,4,4,88,4,100
"OW061024_051124C_LPCF_BED6_ET0.89063alg_5.csv",0,4,4,94,4,100
"OW061024_051124C_LPCF_BED6_ET0.89063alg_6.csv",0,4,4,69,4,100
"OW061024_051124C_LPCF_BED6_ET0.89063alg_7.csv",0,4,4,71,4,100
"OW061024_051124C_LPCF_BED6_ET0.89063alg_8.csv",0,4,4,50,4,100
"OW061024_051124C_LPCF_BED6_ET0.89063alg_9.csv",0,4,4,63,4,100
"OW061024_051124C_LPCF_BED6_ET0.98438alg_1.csv",0,4,4,131,4,100
"OW061024_051124C_LPCF_BED6_ET0.98438alg_10.csv",0,4,4,39,4,100
"OW061024_051124C_LPCF_BED6_ET0.98438alg_11.csv",0,4,4,39,4,100
"OW061024_051124C_LPCF_BED6_ET0.98438alg_12.csv",0,4,4,24,4,100
"OW061024_051124C_LPCF_BED6_ET0.98438alg_13.csv",0,4,4,35,4,100
"OW061024_051124C_LPCF_BED6_ET0.98438alg_14.csv",0,4,4,19,4,100
"OW061024_051124C_LPCF_BED6_ET0.98438alg_15.csv",0,4,4,13,4,100
"OW061024_051124C_LPCF_BED6_ET0.98438alg_16.csv",0,4,4,10,4,100
"OW061024_051124C_LPCF_BED6_ET0.98438alg_2.csv",0,4,4,115,4,100
"OW061024_051124C_LPCF_BED6_ET0.98438alg_3.csv",0,4,4,107,4,100
"OW061024_051124C_LPCF_BED6_ET0.98438alg_4.csv",0,4,4,93,4,100
"OW061024_051124C_LPCF_BED6_ET0.98438alg_5.csv",0,4,4,95,4,100
"OW061024_051124C_LPCF_BED6_ET0.98438alg_6.csv",0,4,4,68,4,100
"OW061024_051124C_LPCF_BED6_ET0.98438alg_7.csv",0,4,4,69,4,100
"OW061024_051124C_LPCF_BED6_ET0.98438alg_8.csv",0,4,4,44,4,100
"OW061024_051124C_LPCF_BED6_ET0.98438alg_9.csv",0,4,4,66,4,100
"OW061024_051124C_LPCF_BED8_ET0.96485alg_1.csv",0,4,4,123,4,100
"OW061024_051124C_LPCF_BED8_ET0.96485alg_10.csv",0,4,4,39,4,100
"OW061024_051124C_LPCF_BED8_ET0.96485alg_11.csv",0,4,4,36,4,100
"OW061024_051124C_LPCF_BED8_ET0.96485alg_12.csv",0,4,4,25,4,100
"OW061024_051124C_LPCF_BED8_ET0.96485alg_13.csv",0,4,4,33,4,100
"OW061024_051124C_LPCF_BED8_ET0.96485alg_14.csv",0,4,4,16,4,100
"OW061024_051124C_LPCF_BED8_ET0.96485alg_15.csv",0,4,4,13,4,100
"OW061024_051124C_LPCF_BED8_ET0.96485alg_16.csv",0,4,4,9,4,100
"OW061024_051124C_LPCF_BED8_ET0.96485alg_2.csv",0,4,4,103,4,100
"OW061024_051124C_LPCF_BED8_ET0.96485alg_3.csv",0,4,4,96,4,100
"OW061024_051124C_LPCF_BED8_ET0.96485alg_4.csv",0,4,4,92,4,100
"OW061024_051124C_LPCF_BED8_ET0.96485alg_5.csv",0,4,4,89,4,100
"OW061024_051124C_LPCF_BED8_ET0.96485alg_6.csv",0,4,4,65,4,100
"OW061024_051124C_LPCF_BED8_ET0.96485alg_7.csv",0,4,4,67,4,100
"OW061024_051124C_LPCF_BED8_ET0.96485alg_8.csv",0,4,4,45,4,100
"OW061024_051124C_LPCF_BED8_ET0.96485alg_9.csv",0,4,4,65,4,100
"OW061024_051124C_LPCF_BED8_ET0.99610alg_1.csv",0,4,4,118,4,100
"OW061024_051124C_LPCF_BED8_ET0.99610alg_10.csv",0,4,4,38,4,100
"OW061024_051124C_LPCF_BED8_ET0.99610alg_11.csv",0,4,4,37,4,100
"OW061024_051124C_LPCF_BED8_ET0.99610alg_12.csv",0,4,4,26,4,100
"OW061024_051124C_LPCF_BED8_ET0.99610alg_13.csv",0,4,4,33,4,100
"OW061024_051124C_LPCF_BED8_ET0.99610alg_14.csv",0,4,4,18,4,100
"OW061024_051124C_LPCF_BED8_ET0.99610alg_15.csv",0,4,4,13,4,100
"OW061024_051124C_LPCF_BED8_ET0.99610alg_16.csv",0,4,4,3,4,100
"OW061024_051124C_LPCF_BED8_ET0.99610alg_2.csv",0,4,4,98,4,100
"OW061024_051124C_LPCF_BED8_ET0.99610alg_3.csv",0,4,4,93,4,100
"OW061024_051124C_LPCF_BED8_ET0.99610alg_4.csv",0,4,4,84,4,100
"OW061024_051124C_LPCF_BED8_ET0.99610alg_5.csv",0,4,4,89,4,100
"OW061024_051124C_LPCF_BED8_ET0.99610alg_6.csv",0,4,4,63,4,100
"OW061024_051124C_LPCF_BED8_ET0.99610alg_7.csv",0,4,4,65,4,100
"OW061024_051124C_LPCF_BED8_ET0.99610alg_8.csv",0,4,4,42,4,100
"OW061024_051124C_LPCF_BED8_ET0.99610alg_9.csv",0,4,4,60,4,100
